dia,temperatura,umidade
1,24.49,85.5
2,25.43,85.5
3,24.94,86.25
4,23.87,75
5,23.72,74.75
6,24.87,78.75
7,23.83,86.5
8,23.86,92.5
9,24.84,87.25
10,25.34,82.75
11,25.72,82.25
12,25.64,81.75
13,25.95,78.75
14,26.01,78.75
15,26.35,80
16,26.19,76
17,25.71,82
18,26.58,78
19,25.62,81.25
20,24.65,91.25
21,25.25,87
22,26.08,85.25
23,26.82,78.5
24,26.8,79
25,25.88,83.75
26,24.8,89.75
27,24.53,92
28,24.96,88.25
29,26.12,84.5
30,24.46,87.5
31,24.46,80
32,24.51,76
33,24.06,80.25
34,24.6,69.5
35,24.5,70.25
36,24.09,73.25
37,23.68,77.75
38,23.77,84.5
39,23.84,80.5
40,25.05,77.5
41,25.68,80.25
42,26.24,84
43,25.71,83.5
44,23.67,91.5
45,23.3,92.25
46,23.27,93.75
47,23.69,87.5
48,23.5,85
49,24.78,86
50,25.65,85.5
51,26.23,82.5
52,26.08,82.5
53,24.99,86
54,24.37,79.25
55,24.21,70.25
56,24.19,74
57,24.96,79.75
58,25.38,87.25
59,25.48,84
60,25.37,85.25
61,25.57,83.75
62,25.45,83.75
63,24.89,85.25
64,25.59,82.5
65,25.65,83
66,24.56,84
67,24.37,84.5
68,23.9,77.75
69,24.41,79.25
70,25.23,79
71,26.38,74
72,24.89,82.75
73,25.7,83.25
74,27.36,80.75
75,25.92,80.75
76,24.14,83.25
77,24.47,78.5
78,26.72,77.25
79,25.62,85
80,24,98.25
81,24.27,81.5
82,25.46,81.5
83,26.75,81.75
84,26.84,78
85,26.54,78.5
86,26.02,83
87,26.12,80.5
88,26.14,82
89,25.97,79.75
90,26.15,79.75
91,26.42,81.5
92,26.62,80.25
93,25.61,81
94,24.3,83.75
95,24.27,81.75
96,23.67,83.75
97,24.18,81.5
98,24.18,83.25
99,24.39,78
100,24.67,76.25
101,24.98,74.25
102,25.84,77
103,26.12,77
104,24.95,83.25
105,25.06,82
106,24.15,80
107,23.77,72.5
108,24.72,67.5
109,24.5,71
110,24.45,72.75
111,24.58,69
112,24.47,73.75
113,24.84,74
114,24.63,78.25
115,24.2,83
116,23.96,83.25
117,23.96,83.5
118,24.81,78.75
119,24.56,79
120,25.21,71.5
121,25.23,67.25
122,23.84,89
123,24.68,82.25
124,25.35,80.25
125,24.89,80.5
126,23.97,82.5
127,23.66,81.5
128,22.93,84
129,22.93,78.25
130,23.96,74
131,24.95,72
132,24.89,74
133,23.33,78
134,22.97,75.75
135,24.36,79
136,24.75,79.5
137,22.43,82.5
138,23.52,82.5
139,24.56,74.5
140,21.08,67.75
141,21.03,62
142,21.81,61
143,21.72,67
144,21.22,68.25
145,20.52,73.25
146,21.85,72.25
147,22.92,71.5
148,22.18,74.25
149,22.93,71.5
150,22.9,76
151,23.37,79.5
152,23.89,73.25
153,23.46,63.5
154,20.87,87.75
155,20.77,75.75
156,21.4,74.75
157,21.7,82
158,21.02,88.75
159,21.24,74.75
160,21.14,69
161,23.25,74.75
162,24.53,81
163,25.19,70.5
164,23.5,76.5
165,19.99,86.5
166,18.26,85.5
167,18.44,94.5
168,19.15,93.75
169,20.43,88.5
170,21.31,80.75
171,21.55,77.5
172,22.39,80.75
173,22.51,77.25
174,22.21,79.5
175,23.24,72
176,22.13,82.75
177,23.57,68.25
178,22.24,77.25
179,22.81,79.75
180,23.52,69.75
181,23.39,76
182,22.35,77.5
183,22.94,75
184,21.91,72.75
185,19.19,89.75
186,20.33,81.75
187,20.98,79.25
188,22.09,77.5
189,22.4,66
190,20.48,72.25
191,19.05,81.25
192,18.98,74
193,18.56,74.5
194,19.06,73
195,21,64.5
196,22.5,68.5
197,23.08,64.25
198,22.42,68.75
199,22.28,80.5
200,22.43,74.5
201,22.82,75.25
202,22.55,71
203,20.92,89.75
204,22.05,81.5
205,21.72,84.25
206,21.52,88.25
207,21.83,82.75
208,22.12,76
209,22.19,77.5
210,23.24,67.25
211,21.63,72.5
212,19.32,99.75
213,19.83,73.75
214,19.94,80.75
215,20.92,85.5
216,20.77,93.25
217,21.38,76
218,19.84,77.75
219,18.9,74.5
220,20.29,74.5
221,22.36,81.25
222,19.03,69.25
223,19.65,56.75
224,19.65,74.75
225,19.57,82
226,19.56,78.25
227,20.24,73.75
228,19.35,81.25
229,19.81,80
230,20.29,79.5
231,20.9,77.5
232,21.55,78
233,21.41,75.5
234,21.54,79.75
235,22.25,73.5
236,23.35,68.5
237,22.27,74.75
238,18.02,86.5
239,17.13,72.5
240,19.77,78
241,20.86,82.25
242,21.7,82
243,22.59,69.25
244,22.11,64.5
245,21.47,77
246,22.1,67.25
247,20.05,72
248,19.06,81
249,18.37,82.75
250,19.39,77.5
251,19.83,78.75
252,19.59,83.25
253,18.94,84.5
